.!bt   |   BitTorrent Incomplete Download file
Corel Presentation Exchange Compressed Drawing
.cpy   |   Copy Books Data file
.cpz   |   Music text file (COMPOZ)
.cr2   |   Canon Raw Image file
.crc   |   Total Commander CRC file
.crd   |   Cardfile (Windows 3.x – YourWay)
ColdRED Script file
Guitar Chord file
.crf   |   Cross-reference (MS MASM – Zortech C++)
.crh   |   Links Games Course file
MS Golf Image file
.crp   |   Encrypted database (dBASE IV)
.crs   |   File Conversion Resource (WordPerfect 5.1)
.crt   |   Terminal settings information (Oracle) or Root Certificate
Security certificate (Windows Sharepoint)
.crtr   |   Multi-Ad Creator 7 document
.crtx   |   Microsoft Chart Template file
.cru   |   Compressed file archive created by CRUSH
.crw   |   Canon RAW Image file
.crx   |   Chrome Extension file
Links Games Course file
.crz   |   Links Games Course file
.cs   |   Visual C# Source file
.csa   |   Comma Deliminated Text
Ultimate Ride Roller Coaster
.csf   |   Adobe Colour Settings file
Van Dyke’s CRT/SecureCRT Script file
.csg   |   Graph (Statistica/w)
.csh   |   Hamilton Labs C Shell Script file
.csk   |   Claris Works
.csm   |   Precompiled headers (Borland C++ 4.5)
.cso   |   Compressed ISO Image file
.csp   |   PC Emcee Screen Image file (Computer Support Corporation)
.css   |   Cascading Sheet Style file
Datafile (CSS – Stats+)
Datasheet (Statistica/w)
.cst   |   Macromedia Director Cast file
Panasonic music file (keyboard)
.csv   |   Comma Separated Values text file format (ASCII)
Adjusted EGA/VGA palette (CompuShow)
.ct   |   Continous Tone file
.ctc   |   Control file (PC Installer)
.ctd   |   Cobra Track Dump
Cardtable file
Marine Data file
Simpsons Cartoon Studio Export file
.ctf   |   Character code translation file (Symphony)
.ctg   |   Canon Catalog file
Cartridge Definition file
ChessBase Opening Book
Canon Powershot Pro 70 Info file
.ctl   |   Microsoft Visual Basic Control file
Control file (dBASE IV – Aldus Setup)
Setup information
.ctn   |   CADTERNS file
.ctt   |   Messenger contacts file
Labview file
.ctu   |   CZTU, a gamma-ray analysis program. Need the CTZU.exe file to work
.ctx   |   Course TeXt file (Microsoft online guides)
Ciphertext file (Pretty Good Privacy RSA System)
.cty   |   SimCity City file
.cue   |   MS Cue Cards data
.cuf   |   C Utilities Form definition (TCU Turbo C Utilities)
.cul   |   Windows cursor library (IconForge, ImageForge, ImageForge PRO)
.cur   |   Cursor image file (Windows 3.x)
.cut   |   Bitmap graphics (Dr. Halo)
Dr Halo CUT files
.cv4   |   Color file (CodeView)
.cv5   |   Canvas version 5
.cva   |   ACD Canvas Sequence Set file
Compaq Diagnostics
.cvb   |   Borland BDE File
.cvd   |   Bitdefender
.cvp   |   Cover page (WinFax)
.cvr   |   WinFax Cover Sheet
ElectraSoft Fax Cover Sheet
.cvs   |   Graphics (Canvas)
.cvt   |   Backup file for CONVERTed database file (dBASE IV)
.cvw   |   Color file (CodeView)
.cwk   |   Claris Works data
.cwz   |   CropWalker file
.cxf   |   Google Picasa Collage file
.cxp   |   Core Media Player XML-based Playlist File
.cxt   |   Macromedia Director Protected Cast file
.cxx   |   C++ source code file (Zortech C++)
.d   |   D programming language source code
GBG DraftMaker Drawing File
.d00   |   Blaster Master Pro File
AdLib Format File
.d10   |   H&R Block Deduction Pro file
Drake Software Dat file
.d2s   |   Character file (Diablo 2)
.d3d   |   File Extension for Desktop-3D Notes
Compressed Draw 3D file
.d64   |   Commodore 64 Emulator Disk Image
.dat   |   Data file in special format or ASCII
Gunlok Archive
Mitsubishi DJ-1000 and Photorun Native Format
Nascar Racing Archive
SPOT Graphic
WordPerfect Merge Data
.data   |   Sid Tune audio file
.day   |   Journal file
.db   |   Configuration (dBASE IV – dBFast)
Database (Paradox – Smartware)
.db$   |   Temperature debug info (Clarion Modula-2)
Temporary file (dBASE)
.db2   |   Database (dBASE II)
.db3   |   Database (dBASE III)
.dba   |   Datafile (DataEase)
Palm Desktop Date Book Archive
.dbb   |   ANSYS Database Backup
Mopheus music file
.dbd   |   Business data (Business Insight)
Debug info (Clarion Modula-2)
.dbf   |   Database file (dBASE III/IV – FoxPro – dBFast – DataBoss)
Oracle 8.x Tablespace File
.dbg   |   Symbolic debugging information (MS C/C++)
.dbk   |   Database backup (dBASE IV)
.dbl   |   Windows XP Activation file
.dbm   |   Datafile (DataEase)
Cold Fusion Template
Menu template (DataBoss)
.dbo   |   Compiled program (dBASE IV)
.dbs   |   Database in SQL Windows format
Datafile (PRODAS)
Printer description file (Word – Works)
.dbt   |   Data Base Text (Clipper)
Foxbase+ style memo (FoxPro)
Memo file for database w/same name (dBASE IV – dBFast)
.dbw   |   Windows file (DataBoss)
.dbx   |   Database
DataBeam Image
MS Visual Foxpro Table
Outlook Express e-mail folder file
.dca   |   Document Content Architecture text file (IBM DisplayWrite)
.dcf   |   Disk image file
.dcm   |   DCM Module Format
Dicom
.dcp   |   Data CodePage (OS/2)
.dcr   |   Kodak Proprietary Image Format
Shockwave file
.dcs   |   Bitmap graphics (CYMK format) (QuarkXPress)
Datafile (ACT! Activity Files)
.dct   |   Database dictionary (Clarion Database Developer)
Spell checking dictionary (Harvard Graphics 3.0 – Symphony)
.dcx   |   FAX Image
ElectraSoft Fax
PC-Paintbrush file
Bitmap Graphics (Multipage PCX)
Macros
MS Visual Foxpro Database Container
.dd   |   Compressed Macintosh file archive created by DISKDOUBLER
.ddat   |   DivX Temporary file
.ddb   |   Bitmap graphics
.ddc   |   DivX Descriptor Description File
.ddf   |   MS Data Definition Language file
.ddi   |   Diskdupe Image file (ddupe322.zip)
.ddp   |   Device Driver Profile file (OS/2)
.de   |   MetaProducts Download Express incompletely downloaded file
.de7   |   Dance E jay 7 File
.deb   |   Debug script (DOS Debug)
.dec   |   VersaPro Declaration file
.def   |   Assembly header file (Geoworks)
DATAIR data entry format file
Defaults – definitions
.dem   |   Demonstration
Graphics (VistaPro)
.des   |   Description Text
Tribes 2 Game file
Quickbooks Template
Pro/DESKTOP file
Interscope BlackBox file
.dev   |   Device driver
.dfd   |   Data Flow Diagram graphic (Prosa)
.dff   |   Criterion RenderWare 3.x 3D object format
.dfi   |   Outline font description (Digifont)
.dfl   |   Default program settings (Signature)
FreshDownloads (FreshDownload List temp file)
File Extension for Desktop-3D Notes
.dfm   |   Data Flow Diagram model file (Prosa)
.dfs   |   Delight Sound file
.dft   |   Fakt2000 file
SolidEdge CAD file
Workshare Synergy file
PC Draft file
.dfv   |   Printing form (Word)
.dfx   |   Drafix file
.dgn   |   Graphics (MicroStation)
.dgr   |   Fax Page (MS Outlook Express)
DART Pro 98 File Group Details
.dgs   |   Diagnostics
.dh   |   Dependency information for .ph (Geoworks)
.dhp   |   Dr. Halo PIC Format graphics (Dr. Halo II – III)
.dht   |   Datafile (Gauss)
.dhy   |   Adobe Bridge file
.dia   |   Diagraph graphics (Computer Support Corporation)
.dib   |   Bitmap graphics (Device-Independent Bitmap)
.dic   |   Lotus Notes / Domino dictonary file
.dif   |   Database (VisiCalc)
Output from Diff command – script for Patch command
Text file (Data Interchange Format)
.dig   |   Digilink Format
Sound Designer Audio File
Text Document
.dip   |   Graphics
.dir   |   Adobe Director Movie File
Dialing directory file (Procomm Plus)
Directory file (VAX)
Movie (MacroMind Director 4.x)
.dis   |   DATAIR data import specification file
Distribution file (VAX Mail)
Thesaurus (CorelDraw)
>   |   
.divx   |   DivX Encoded Movie file
.diz   |   Description file (Description In Zip)
.dje   |   MattBatt iAM-player
.djv   |   DJVu Scanned file
.djvu   |   DJVu file
.dkb   |   Raytraced graphics (DKBTrace)
.dl   |   Animation (Italian origin)
.dl_   |   Compressed .dll file in an Install Archive
.dld   |   Data (Lotus 1-2-3)
.dlg   |   Dialog resource script file (MS Windows SDK)
.dll   |   Dynamic Link Library (Windows 3.x – OS/2)
Export/import filter (CorelDRAW)
.dls   |   Setup (Norton Disklock)
.dmf   |   Delusion/XTracker digital music file
Packed Amiga Disk Image
.dmg   |   Macintosh OS X Disk Image file
.dml   |   Medical Manager DML System Script
.dmo   |   Demo (Derive)
.dmp   |   Dump file (eg. screen or memory)
.dms   |   Compressed Amiga file archive created by DISKMASHER
.dmsk   |   DivX Web Player Temporary file
.dna   |   Desktop DNA data storage file
.dnasym   |   Desktop DNA compiled application script
.dnax   |   Desktop DNA exclusion list (text)
.dne   |   Netica Bayes net file (Norsys Software Corp.)
.dng   |   Adobe Digital Negative fFile
Dungeon file
.dnl   |   DigitalWebBook Electronic Book
netMod Modem Firmware Upgrade file
.do   |   ModelSim Filter Design HDL Coder
.doc   |   Document text file
.docm   |   Open XML Macro-enabled Document file (Microsoft Word 2007 / Word 2010)
.docx   |   Open XML Document text file (Microsoft Office 2007 / Office 2010)
.dog   |   Screen file (Laughing Dog Screen Maker)
.doh   |   Dependency information for .poh (Geoworks)
.dol   |   Nintendo Executable file
.dos   |   External command file (1st Reader)
Network driver (eg. pkt_dis.dos)
Text file containing DOS specific info
.dot   |   Line-type definition file (CorelDRAW)
Template (Word for Windows)
.dotx   |   Microsoft Word 2007 / Word 2010 Template file
.dox   |   Text file (MultiMate 4.0)
.doz   |   Description Out of Zip (VENDINFO)
.dp   |   Calendar file (Daily Planner)
Data file (DataPhile)
.dpg   |   Nintendo DS MPEG Video File
.dpk   |   Delphi Package file
.dpp   |   Serif DrawPlus Drawing
.dpr   |   Default project- and state-related information (Borland C++)
.dps   |   DivX Player Skin file
.dpt   |   Desktop DNA template
.dpx   |   Digital moving picture exchange format
.dra   |   Map Maker Pro GIS vector layer
.drs   |   Display Resource (WordPerfect for Win)
.drv   |   Device driver eg. for printer
.drw   |   Drawing (various)
Vector graphics (Micrografx Designer)
.ds   |   Twain Data Source file
.ds4   |   Vector graphics (Micrografx Designer 4.0)
.dsa   |   DasyTec DASYLab file
.dsb   |   DasyTec DASYLab file
.dsc   |   Discard file (Oracle)
.dsd   |   Database (DataShaper)
.dsf   |   Micrografx Designer
PC-TRUST Document Signer
Delusion/XTracker Digital Sample
.dsk   |   Project desktop file (Borland C++ – Turbo Pascal)
Simple IDs (database)
.dsm   |   Digital sound module (DSI)
.dsn   |   ODBC Data Source file
Design (Object System Designer)
.dsp   |   Display parameters (Signature)
Graphics display driver (Dr.Halo)
MS Developer Studio Project
ReaderX and DragonStar Pro Ltd file extensions
.dsp2   |   ReaderX and DragonStar Pro Ltd file extensions
.dsr   |   Driver Resource (WordPerfect for Win)
.dss   |   Screensaver file (DCC)
Sound (Digital Soup)
.dst   |   PC-RDist Distribution file
Embroidery Machine Stitch file (VeePro)
.dsw   |   Desktop settings (Borland C++ 4.5)
.dsy   |   PC Draft Symbol Library
.dt_   |   Data fork of a Macintosh file (Mac-ette)
.dta   |   Data file (Turbo Pascal – PC-File – Stata)
.dtd   |   SGML Document Definition file
.dtf   |   Database file (PFS – Q&A)
.dtp   |   Document (Timeworks Publisher3)
Publication (Publish-It!)
.dup   |   Duplicate Backup
.dus   |   Readiris font dictionary
.dvc   |   Data (Lotus 1-2-3)
.dvf   |   DV Studio Camcorder Graphics file
.dvi   |   Device Independent document (TeX)
.dvp   |   Desqview Program Information file (DESQview)
Device parameter file (AutoCAD)
.dvr   |   Windows Media Center Recorded file
DR-92 Manager file
.dvr-ms   |   files created by Stream Buffer Engine(SBE)
.dw2   |   Drawing (DesignCAD for windows)
.dwc   |   Compressed file archive created by DWC (dwc-a501.exe)
.dwd   |   Davka Writer file
DiamondWare Digitized file
.dwf   |   Autodesk WHIP! Drawing Web file
MS WHIP autoCAD REader Drawing Web file
.dwg   |   Drawing (Drafix)
Drawing database (AutoCAD)
.dwk   |   DADiSP Worksheet File
.dwl   |   Drawing Lock file
.dwt   |   AutoCAD Template/Prototype file
Macromedia Dreamweaver Template file
Demon’s World Game Texture file
.dwz   |   DVD movieFactory 3
.dx   |   Text file (DEC WPS/DX format – DEC WPS Plus)
.dxf   |   Drawing Interchange File Format vector graphics (AutoCAD)
.dxn   |   Fax (Fujitsu dexNET)
.dxr   |   Adobe Director Movie File
Dependable Strengths Administrator Resources
Green Building Advisor file
Macromedia Director Protected Movie file
.dyc   |   ICUII Videochat file
.dylib   |   Apple osx extension for lib
.dyn   |   Data (Lotus 1-2-3)
.dz   |   Dzip Compressed file
.e3p   |   CIM-Team E3.series parts file
.e3s   |   CIM-Team E3.series project file format
.e3t   |   CIM-Team E3.series template file
.e3v   |   CIM-Team E3.series viewer project file format
.eap   |   Enterprise Architect Project file
.ear   |   Java Enterprise Application Packaging Unit
.eas   |   Elite Visual Basic API Spy
.ebj   |   Error-checking object file (Geoworks)
.ebo   |   MS Reader Ebook Format
.ebp   |   Pocket PC WindowsCE Project file
.ecf   |   Microsoft Outlook Add-on file
Microsoft Exchange Extended Configuration file
WinFax Office Add-in file
.eco   |   NetManage ECCO file
.ecw   |   Ensoniq Waveset Format
EclipseCrossword Crossword Puzzle
.edb   |   MS Exchange Database
ROOTS3 geneological data
.edl   |   Edit Decision List (management for video/film post production)
.edr   |   Portable energy file – GROMACS 3.3
.eds   |   Ensoniq SQ80 disk image
.edt   |   Default settings (VAX Edt editor)
.eeb   |   Button bar for Equation Editor (WordPerfect for Win)
.efe   |   Ensoniq EPS file
.eft   |   High resolution screen font (ChiWriter)
.efx   |   Fax (Everex EFax)
.ega   |   EGA display font (Ventura Publisher)
.ek5   |   SonarData Echoview file
.ek6   |   SonarData Echoview file
.ekm   |   EXP: The Scientific Word Processor Macro
.el   |   Elisp source code file (Emacs lisp)
.elc   |   Compiled ELISP code (Emacs lisp)
.elm   |   MS FrontPage Theme-Pack file
.elt   |   Event list text file (Prosa)
.email   |   Outlook Express Mail Message
.emb   |   Everest Embedded Bank File
.emd   |   ABT Extended Module
.emf   |   Enchanced Metafile graphics
.eml   |   Electronic Mail (Email) Message file
.emp   |   E-Music File Format
.ems   |   PC Tools Enhanced Menu System Config
.emu   |   Terminal emulation data (BITCOM)
.emx   |   Ensuredmail encrypted file/e-mail message
IBM Rational modeller software
.emz   |   Windows Compressed Enhanced Metafile
.enc   |   Encoded file – UUENCODEd file (Lotus 1-2-3 – uuexe515.exe)
Music (Encore)
.end   |   Arrow-head definition file (CorelDRAW)
.eng   |   Dictionary engine (Sprint)
Graphics (charting) (EnerGraphics)
.ens   |   EndNote Styles file
.env   |   Enveloper macro (WOPR)
Environment file (WordPerfect for Win)
.eot   |   MS WEFT Embedded OpenType file
.epd   |   Publication (Express Publisher)
.epf   |   Encryption Protection (encrypted file format)
The extension of the Entrust Profile files.
.epi   |   Document (Express Publisher)
.epp   |   EditPad Pro Project
.eps   |   Encapsulated PostScript vector graphics (Adobe Illustrator)
Printer font (Epson – Xerox…) (Ventura Publisher)
.epub   |   Open Electronic Book file
.eqn   |   Equation (WordPerfect for Win)
.erd   |   Entity Relationship Diagram graphic file (Prosa)
.erm   |   Entity Relationship Diagram model file (Prosa)
.err   |   Error log
Error messages for command line compilers
.esp   |   Ventura file
.esh   |   Extended Shell batch file
.esl   |   MS Visual FoxPro Distributable Support Library
.ess   |   EXP: The Scientific Word Processor Style Sheet
.est   |   MS Streets & Trips 2001 Trip file
.etf   |   Enriched Text file
PolyEdit file
.eth   |   Document (Ethnograph 3)
.ets   |   eSignal Time and Sales file
.etx   |   Structure Enhanced (setext) text
.ev   |   SonarData Echoview file
.evi   |   SonarData Echoview file
.evl   |   SonarData Echoview file
.evr   |   SonarData Echoview file
.evt   |   Event log
.evy   |   Document (WordPerfect Envoy)
.ewd   |   Document (Express Publisher for Windows)
.ewl   |   EclipseCrossword Word List
Microsoft Encarta Document
.ex   |   Norton Ghost Template File
.ex_   |   Compressed .EXE File in an Install Archive
.ex3   |   Device driver (Harvard Graphics 3.0)
.exc   |   Rexx source code file (VM/CMS)
Exclude file for Optimize (do not process) (QEMM)
.exd   |   Control Information Cache
.exe   |   Directly executable program (DOS)
.exm   |   Msdos executable, system-manager compliant (HP calculator)
.exp   |   ICQ Saved Chat file
QuickBooks file
.ext   |   Extension file (Norton Commander)
.ext2fs   |   filesystem driver in the Linux kernel
.exx   |   Intermediate file by MsgPut (IBM LinkWay)
.ezf   |   Fax (Calculus EZ-Fax)
.ezm   |   Text file
.ezp   |   Edify Electronic Workforce Backup Utility
.ezz   |   eZBackup backup file
.f   |   Fortran source code file
Compressed file archive created by FREEZE
.f_i   |   Print IPS file
.f01   |   Fax (perfectfax)
.f06   |   Dos screen text font – height 6 pixels (fntcol13.zip)
.f07   |   Dos screen text font – height 7 pixels (fntcol13.zip)
.f08   |   Dos screen text font – height 8 pixels (fntcol13.zip)
.f09   |   Dos screen text font – height 9 pixels (fntcol13.zip)
.f10   |   Dos screen text font – height 10 pixels (fntcol13.zip)
.f11   |   Dos screen text font – height 11 pixels (fntcol13.zip)
.f12   |   Dos screen text font – height 12 pixels (fntcol13.zip)
.f13   |   Dos screen text font – height 13 pixels (fntcol13.zip)
.f14   |   Dos screen text font – height 14 pixels (fntcol13.zip)
.f16   |   Dos screen text font – height 16 pixels (fntcol13.zip)
.f2   |   FLASH BIOS file
.f2r   |   Linear module (music) (Farandole)
.f3r   |   Blocked module (music) (Farandole)
.f4v   |   MP4 Video file
.f77   |   Fortran 77 source code file
.f90   |   Fortran file
.f96   |   Fax (Frecom FAX96)
.fac   |   Face graphics
.faq   |   Frequently Asked Questions text file
.far   |   Farandoyle Tracker Music Module
The Sims (Maxis) Archive file
.fav   |   MS Outlook Bar Shortcuts
.fax   |   Fax (raster graphics) (most Fax programs)
.fbc   |   FamilyTree Compressed backup file
.fbk   |   Navison Financials Backup
FamilyTree Backup file
.fc   |   Spell checking dictionary (Harvard Graphics 2.0)
.fcd   |   Virtual CD-ROM
FastCAD/EasyCAD Output
Patton & Patton Flow Charting 3 file
IsoBuster file
.fcm   |   Binary file patch file (forward compression)(jlpak10.zip)
.fcp   |   FLAMES Checkpoint Restart file (Ternion)
.fcs   |   Flow Cytometry Standard Format
Fantasy Football League Organizer file
RealProducer Pro Settings
c-tree Server/Plus Data file
Canon Zoom Browser EX file
CD Trustee file
Spectrum Server Log file
.fcw   |   Campaign Cartographer 2 file
.fd   |   Declaration file (MS Fortran)
Field offsets for compiler (DataFlex)
.fdb   |   Art Explosion Portfolio Catalog file
Legacy Family Tree Database
Navison Financials Database
.fde   |   FLAMES Dataset Export file (Ternion)
.fdf   |   Adobe Acrobat Forms document
.fdr   |   Final Draft Document file
Embroidery Design file
.fdw   |   Form (F3 Design and Mapping)
.feb   |   Button bar for Figure Editor (WordPerfect for Win)
.fef   |   Steuer2001 file
.fes   |   Fabio Editing Software
3D Topicscape – exported fileless occurrence
.fev   |   FLAMES Environment Variable file (Ternion)
.ff   |   Outline font description (Agfa Compugraphics)
.ffa   |   MS Fast Find file
.fff   |   Fax (defFax)
.ffl   |   MS Fast Find file
.ffo   |   MS Fast Find file
.fft   |   Dca/FFT Final Form Text text file (DisplayWrite)
.ffx   |   Microsoft Fast Find file
.fgd   |   Folder Guard Data
Half-life Modification Map Configuration file
Digital Raster Graphic Metadata file
.fh3   |   Vector graphics (Aldus FreeHand 3.x)
.fh4   |   Vector graphics (Aldus FreeHand 4.x)
.fh5   |   Freehand 5
.fh6   |   Freehand 6
.fh7   |   Freehand 7
.fh8   |   Macromedia Freehand 8
.fh9   |   Macromedia Freehand 9
.fh10   |   Macromedia Freehand 10
.fi   |   Interface file (MS Fortran)
.fif   |   Fractal Image Format file
.fig   |   REND386/AVRIL Graphic
Super Nintendo Game-console ROM Image
.fil   |   File template (Application Generator)
Files list object file (dBASE Application Generator)
Overlay (WordPerfect)
.fin   |   Print-formatted text file (Perfect Writer – Scribble – MINCE)
.fio   |   PhotoStyler graphics (filter)
ULead Viewer (support file)
.fit   |   Fits graphics
File Index Table (WindowsNT)
.fix   |   Patch file
.fky   |   Macro file (FoxPro)
.fla   |   Adobe Flash file
.flac   |   Free Lossless Audio Codec
.flb   |   Format library (Papyrus)
.flc   |   Animation (Autodesk Animator)
.fld   |   Folder (Charisma)
.fle   |   Flea program: outbound file and attachment required by the given mailer environment
.flf   |   Corel Paradox Form
Firehand Lightning Graphic Collection
Navison Financials License file
OS/2 Driver file
FLAMES License file, Enterprise Edition (Ternion)
.fli   |   Tex font library (EmTeX)
Animation (Autodesk Animator)
.flk   |   File Locker Encrypted file
.flm   |   Film Roll (AutoCAD/AutoShade)
.flo   |   Micrografx FlowCharter
.flp   |   Adobe Flash Project file
FlipAlbum file
Fruityloops Saved file
.flt   |   Asymetrix Graphics Filter Support file
CoolEdit Pro Filter
Corel Graphic Filter
FileMaker Filter
FLIC Animation (DTA)
Micrografx Picture Publisher Filter
MS Graphics Filter
MulitGen Open Flight file
OS/2 Warp Filter Device Driver
StarTrekker Music Module
WinFlash Educator Flashcard Compiled Test file
.flv   |   Adobe Flash Video file
.flx   |   Compiled binary (DataFlex)
.fm   |   Spreatsheet (FileMaker Pro)
FrameMaker file
.fm1   |   Spreadsheet (Lotus 1-2-3 release 2.x)
.fm3   |   Device driver (Harvard Graphics 3.0)
Spreadsheet (Lotus 1-2-3 release 3.x)
.fmb   |   File Manager Button bar (WordPerfect for Win)
.fmf   |   Font or icon file (IBM LinkWay)
.fmg   |   FreeMarkets Graphics Browser
.fmk   |   Makefile (Fortran PowerStation)
.fmo   |   Compiled format file (dBASE IV)
.fmp   |   FileMaker Pro Document
FLAMES Model Prototype file for components written in C (Ternion)
.fmpp   |   FLAMES Model Prototype file for components written in C++ (Ternion)
.fmt   |   Format file (dBASE IV – FoxPro – Clipper 5 – dBFast)
Style sheet (Sprint)
.fmv   |   Frame Vector Metafile
.fmz   |   Form Z Program files (drawing program)
.fn3   |   Font file (Harvard Graphics 3.0)
.fnt   |   Font file (many)
.fnx   |   Inactive font (Exact)
.fo1   |   Font file (Borland Turbo C)
.fo2   |   Font file (Borland Turbo C)
.fol   |   Folder of saved messages (1st Reader)
.fon   |   Dialing directory file (Telix)
Font file (many – Windows 3.x font library)
Log of all calls (Procomm Plus)
.for   |   Fortran source code file
Form (WindowBase)
.fot   |   Installed Truetype font (Windows Font Installer)
.fp   |   Configuration file (FoxPro)
.fp3   |   FileMaker Pro 3.0 and earlier files
Floor Plan 3D Drawing file
.fp4   |   FileMaker Pro 4.0
.fp5   |   FileMaker Pro 5.0 and later files
.fpb   |   FLAMES Playback Recorder file (Ternion)
.fpc   |   Catalog (FoxPro)
.fpk   |   JetForm FormFlow file
.fpr   |   FLAMES Prototype file (Ternion)
.fpt   |   Memo (FoxPro)
.fpw   |   Floorplan drawing (FloorPLAN plus for Windows)
.fpx   |   FlashPix Bitmap
.fqy   |   FLAMES FLARE Command file (Ternion)
.fr3   |   Renamed dBASE III+ form file (dBASE IV)
.frc   |   FLAMES Recorder Output file; FLARE Input file (Ternion)
.frd   |   Files which contain loudspeaker frequency response data
.fre   |   Creative Digital Blaster Digital VCR file
Male Normal CT
.frf   |   Font (FontMonger)
.frg   |   Uncompiled report file (dBASE IV)
.frl   |   FormFlow file
.frm   |   MySQL Database Format file
Form (Visual Basic)
Report file (dBASE IV – Clipper 5 – dBFast)
Text (order form)
.fro   |   Compiled report file (dBASE IV)
.frp   |   Form (PerForm PRO Plus – FormFlow)
.frs   |   Screen Font Resource (WordPerfect for Win)
.frt   |   Report memo (FoxPro)
.frx   |   Report (FoxPro)
.fs   |   F# Source Code file
.fsc   |   FLAMES Scenario file (Ternion)
.fsh   |   EA Sports Game Graphic Editor file
.fsl   |   Form (Paradox for Windows)
.fsm   |   Farandoyle Sample format music
.fst   |   Linkable program (dBFast)
.fsproj   |   Store Firestarter projects used to generate class mapping definitions for Habanero Firestarter
.fsx   |   Data (Lotus 1-2-3)
.fsy   |   Fileware’s Filesync
.ftm   |   Font file (Micrografx)
.fts   |   Windows Help Full-Text Search Index file
.ftw   |   Family file
FontTwister
.ftp   |   Configuration (FTP Software PC/TCP)
.fus   |   Files that store user settings for various FLAMES applications (Ternion)
.fvt   |   Interlock Public Computer Utility
.fw   |   Database (FrameWork)
.fw2   |   Database (Framework II)
.fw3   |   Database (Framework III)
.fwp   |   FLAMES Window Viewer project file (Ternion).
.fx   |   DirectX Effects file
On-line guide (FastLynx)
.fxd   |   Phonebook (FAXit)
.fxm   |   WinFax/WinFax MiniViewer Fax
.fxo   |   Fax Image Document
.fxp   |   Compiled format (FoxPro)
.fxr   |   WinFax Received Document
.fxs   |   Fax Transmit Format graphics (WinFax)
.g   |   Data chart (APPLAUSE)
.g3   |   Group 3 Fax document; Group 3 Fax
.g3f   |   Zetafax TIFF file (fine resolution)
.g3n   |   Zetafax TIFF file (normal resolution)
.g8   |   Raw graphics (one byte per pixel) plane three (PicLab)
.gab   |   Global Address Book file
.gal   |   Corel Multimedia Manager Album
.gam   |   Saved Game file
Fax (GammaFax)
TADS 2.x Game file
Baldur’s Gate Game file
Animated E-mail
.gat   |   Gator file
.gb   |   Pagefox Bitmap Image file
GameBoy ROM
.gba   |   Game Boy Advanced ROM
GrabIt Batch files
.gbc   |   Game Boy COlor ROM
.gbd   |   Gator Banner file
.gbl   |   Global definitions (VAXTPU editor)
.gbr   |   GIMP Brush file
Gerber Format file
.gbx   |   Gerber file
.gc1   |   Lisp source code (Golden Common Lisp 1.1)
.gc3   |   Lisp source code (Golden Common Lisp 3.1)
.gcd   |   Graphics
.gcf   |   Steam GCF File
.gdb   |   Interbase Database
Group Mail file
.gdf   |   Dictionary file (GEOS)
.gdr   |   Bitmap Font file (SymbianOS)
.ged   |   Editor’s native file format (Arts & Letters)
GEDCOM Family History file
Graphic Environment Document
Graphics editor file (EnerGraphics)
Game Editor Project File
.gem   |   Vector graphics (GEM – Ventura Publisher)
.gen   |   Compiled template (dBASE Application Generator)
Generated text (Ventura Publisher)
Genius Family Tree
.geo   |   Geode (Geoworks)
.gfb   |   Compressed GIF image created by GIFBLAST (gifblast.exe)
.gft   |   Font (NeoPaint)
.gfx   |   Genigraphics Graphics Link Presentation
Graphic format used by Allen Bradley SCADA Software (RSView Works)
.gg   |   Google Desktop Gadget file
.gho   |   Symantec Ghost Disk image file
.ghs   |   Lasertank High Scores
Symantec Ghost Disk Image Span file
.gib   |   Chart (Graph-in-the-Box)
.gid   |   Windows Help index file
.gif   |   Graphics Interchange Format bitmap graphics (CompuShow)
.gig   |   Sound file
.giw   |   Presentation (Graph-in-the-Box for Windows)
.gl   |   Animation (GRASP GRAphical System for Presentation)
.glm   |   Datafile (Glim)
.gls   |   Datafile (Across)
.gly   |   Glossary (MS Word)
.gmd   |   Game Maker file format
.gmf   |   CGM graphics (APPLAUSE)
.gml   |   Geography Markup Language file
.gmp   |   Geomorph tile map (SPX)
.gno   |   Genopro Genealogy Document file
.gnt   |   In MF COBOL a compiled .cbl file
.goc   |   Goc source code file (Geoworks)
.go    |   GoLang source code file
.goh   |   Goc header file (Geoworks)
.gp   |   Geode parameter file (Geoworks Glue)
.gp3   |   CCITT Group 3 file
GuitarPro 3
.gp4   |   Guitar Pro version 4.06
.gpd   |   VISUAL EPR Input Data for PARAMS.EXE
.gph   |   Graph (Lotus 1-2-3/G)
.gpk   |   Omnigo program package
.gpx   |   GPS eXchange Format
.gr2   |   Screen driver (Windows 3.x)
.gra   |   Datafile (SigmaPlot)
.grb   |   Ms-DOS Shell Monitor file (MS-DOS 5)
.grd   |   Gradebook Power file
Map Projection Grid file
.grf   |   Micrografix Image file
Graph file (Graph Plus – Charisma)
.grl   |   Matlab Graphic Format
.grp   |   Group file (Windows 3.x – Papyrus)
Pictures group (PixBase)
.grx   |   File list (GetRight)
.gry   |   Raw GREY graphics
.gs1   |   Presentation (GraphShow)
.gsd   |   Vector graphics (Professional Draw)
GSplit file splitting utility (GDGsoft.com)
.gsm   |   Raw GSM 6.10 Audio Stream
Sound file
US Robotics modem file
.gsp   |   Geometer’s Sketchpad Material file
.gsw   |   Worksheet (GraphShow)
.gtp   |   Gnome Desktop Theme file
GuitarPro file
